Tara,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16
Bulgaria,0.29084265089344125,0.06118820190986493,0.02433763418264384,0.14218899078419153,0.0002122970864577159,0.08214329950560395,0.01040659256750387,0.19632164656574463,0.014495190036039524,0.0003166435193465934,0.000328504593481111,0.006209659181459473,0.1426890782037211,0.02491447312411114,0.0034047501682177095,3.876781716505223e-07
Burkina Faso,0.8765662498104635,0.01935787842653652,0.033607576747387596,0.009609054277676589,0.00691579998822089,0.00010982649600224255,0.00014009795177581796,0.009188956286291438,0.026370945301722033,0.0047629134903631395,0.004205692947719699,0.0005117059560963351,0.00028402117685140583,0.006167562298668325,0.0021820612597461004,1.9657584478230915e-05
Burundi,0.7517179568379888,1.3281786886517087e-06,0.025501957813485684,0.01240887622126018,0.004294537491211362,0.0004520969527009037,0.012614506485461132,0.10696759717158036,0.010129149221057553,0.04134592892589962,0.025941449715241992,0.0031869722157271884,0.00044645631955763846,0.00018774088476116224,0.004781830864398988,2.1614700978647012e-05
Cambodia,0.515207578810749,0.005462109651501975,0.04015971886944304,0.002371639528267932,0.008857094964410776,0.06737568278857059,0.1521214195165526,0.021966082419025118,0.040301780228557085,0.045150787245409885,9.011005541202904e-06,0.0898767988430721,3.653065162283546e-05,0.0037976412291240535,0.007265008674977821,4.111557317388037e-05
Cameroon,0.8294272515294681,0.015757570105652468,0.025826715607676628,0.04179999620448615,0.014277093845369557,0.011117474270436788,0.0015377099309755702,0.03191912467886834,0.009556111677346815,1.1916332534662732e-05,0.00201176799644666,0.011259854661991774,0.0012710458843677662,0.0038107990094651757,0.00041532097997914774,2.472849345079281e-07
Canada,0.8964135874699439,0.016811833858023147,0.02089265477079653,0.056466485508081456,0.00024457614855447784,0.002264866255535219,0.0013167685604123407,0.00303442496181969,0.0004671899519431221,0.00013618469944726497,0.0010660005725026114,1.0684087316373126e-05,3.196251599366223e-05,2.9048477785386405e-06,0.0008398756989929435,9.285861027266686e-11
Cape Verde,0.06723131489615901,0.0637155737965969,0.018694165927495583,0.0953084680081334,0.07200426958411722,0.059764831769575096,0.2016443207219489,0.033166670736453664,0.16951572294399905,0.0377186106743925,0.1352773161796375,0.0002656730622931114,0.0011124934643707489,0.03678750046143425,0.006897901859264435,0.0008951659141284925
Central African Republic,0.8870507821918105,0.0020178419262296497,0.023419807045826142,0.03337549281839729,0.0009819206522304405,0.013512189301260288,0.010347787310521646,0.0003442362535664559,0.011276536072702214,0.0011538832757678299,0.007435815272220433,0.00358038937837383,0.0006814161536442288,0.0046643512764837,0.0001558902581259519,1.66081283926123e-06
Chad,0.8426846046191939,0.026158890843971116,0.03605183065507915,0.05205371620814925,0.007271996940037912,0.012589162104736866,0.0014714971923633709,0.00386111253875818,0.00452801674600567,0.0008404172961081887,0.01009117577065369,0.0015781547886989824,0.0006921570901300928,3.84229244387078e-06,0.00012252880045299474,8.961132168039205e-07
Chile,0.8519439985933442,0.01324752579596354,0.0536715521583385,0.012614431146874829,0.002006014512268036,0.015469126624603853,0.015964852655732744,0.008299028018061474,0.0035665581570211847,0.0020609544189251986,0.00015309157447902715,0.00020610893265288506,0.018703504915922244,0.0017099997807894464,0.00038209255064727555,1.1601643754860813e-06
China,0.45550367264559294,0.03847646867386462,0.0884533675824976,0.007810287108947164,0.0024977476565053412,0.015284335102653514,0.16691885966223288,0.0637756433440443,0.0028284803880464747,0.051863221662504455,0.0604148526672848,0.039859091513758785,2.067679010006768e-05,0.001347882976057735,0.00493618185980908,9.230366100236377e-06
Colombia,0.2691261601691573,0.006556603547539823,0.0007463019475392311,0.0014158614289645755,0.00467437682789272,0.011654337330951836,0.10009348284984089,0.41931820164835887,0.04115203624936578,0.0031221636764069624,0.09758445479207435,0.02463108032423824,3.471407066039215e-05,0.017540771438563692,0.002344796539506998,4.657158938390692e-06
Comoros,0.2489317827724457,0.18113625548558673,0.03276341760729615,0.1958737313528986,0.03960574263990076,0.1147696316868798,0.018826982672978346,0.03680478441927457,0.0473159663556671,6.107087762534942e-05,0.004449323117341311,0.07060087818494039,0.0018726539080125167,0.0024921648865932583,0.004495075123986153,5.389085731984247e-07
Congo,0.7029369770016413,0.002349462841629148,0.03301534244530066,0.0865366119317998,0.003774293657165923,0.0965596178079215,0.047390949151708085,0.001949246036103564,0.013188408628013156,0.0009651500113402452,0.001696606347370688,0.0027140294764641374,0.0019042983423803756,0.00230615726571023,0.0027125819254417566,2.6713000928973637e-07
Cook Islands,0.3799579448669135,0.001405138019779747,0.13096621464934247,0.03639546204337739,0.0019986311427004516,0.012102404714184558,0.3776267531209617,0.022607931444391244,0.0003168651703397443,0.0254966742691859,0.007219289360867537,0.0015010569120953595,0.000413401604054302,0.0005579939864560756,0.0014333540741110044,8.84621239009974e-07
Costa Rica,0.8497662365850663,0.004234411217146376,0.0005703779199855401,0.09724641592745625,0.001608326313026467,0.003821756498499395,0.0083098227965952,0.02333169204867608,0.00427115303713216,0.005465777215292247,0.0010604418448841536,0.00012278855606138363,0.00017101164304135404,1.4414511141974239e-05,4.007269436335589e-06,1.3666165589217039e-06
Cote d'Ivoire,0.8413162745049747,0.0015931053825157413,0.04682246082963295,0.012066520534091737,6.52938433690626e-05,0.0008228926200680239,0.021525324543349485,0.0014778343165097812,0.007121229269044212,0.00667728198006515,0.048735711942600714,0.009645734809323278,0.0009833199401928345,0.001066674587859091,4.0725209816188675e-05,3.961568658698517e-05
Croatia,0.6975595241101364,0.036801884856976705,0.12239918973512447,0.0009005279446853873,0.024200962148800347,0.04237645981392517,0.020171273120291603,0.011911957022754943,0.00987497470618731,0.02153057408635569,0.0055205627423460715,4.7315206750119915e-06,0.0056081575761175746,0.00010376271147526533,0.001034334226284824,1.1236778632358502e-06
Cuba,0.9186411575229454,0.00864248797839124,0.024482054514972602,0.007142482926279627,0.00021623750473452524,0.018912634767305946,0.004500624873125321,0.0023263928200766837,0.004891273926999561,0.003303996485416698,0.00032444702918936296,0.0023544419315796174,0.0023815860166936037,0.000548163865299506,0.0013306194855009774,1.3983514892550955e-06
